timepoint,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,parent colony length,parent colony width,parent colony height ,parent colony area,parent colony volume,bw,surface area,chla,symb_den,carbs_dw,lipids_dw,protein_dw,d15N_A,d13C_A
T2,PSTR 6 21,PSTR,P6,21,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,19,12,11.5,228,2622,17.61153846,20.82433621,29.22666667,3952666.667,0.0218119,0.007661214,0.030008439,5.1,-14.3
T2,PSTR 2 2,PSTR,P2,2,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,22,19,10,418,4180,37.72904348,36.30716627,20.54723232,874074.0741,0.005710674,0.014718753,0.02944774,5.1,-15.4
T0,PSTR 2 13,PSTR,P2,13,NSP2,NS,control,control,control,NS control,N,N,alive,22,19,10,418,4180,,,12.76231111,3173796.296,0.020768937,0.016194574,0.029543843,5.1,-17.2
T1,SSID 4 20,SSID,S4,20,OSS4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,24,19,9,456,4104,12.20778947,14.48859297,1.013191111,1527469.136,0.046618532,0.017687722,0.028073159,5.1,-11
T2,SSID 1 2,SSID,S1,2,NSS1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,22,18,15,396,5940,21.87333333,18.79954531,3.583443478,447957.8393,0.035660798,0.09328927,0.084882102,5,-12.2
T1,PSTR 4 7,PSTR,P4,7,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,18,10,342,3420,15.27646181,15.77549276,4.407725176,5926470.588,0.037891936,0.062137505,0.063243487,5,-13.7
T0,SSID 4 13,SSID,S4,13,NSS4,NS,control,control,control,OS control,N,N,alive,20,18,17,360,6120,,,1.518411294,3725243.697,0.047120403,0.019228481,0.048959353,5,-12.8
T2,SSID 3 21,SSID,S3,21,OSS3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,25,21,13,525,6825,17.83128295,20.64944691,3.888936054,1514285.715,0.021376939,0.011322017,0.213154821,4.9,-11.5
T1,PSTR 6 14,PSTR,P6,14,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,19,12,11.5,228,2622,14.00768014,13.48032075,8.711064935,4113852.814,0.171302131,0.178109554,0.00431987,4.9,-12.6
T0,PSTR 6 26,PSTR,P6,26,OSP6,OS,control,control,control,OS control,N,N,alive,19,12,11.5,228,2622,,,16.74103467,4760000,0.015704665,0.006555811,0.022922327,4.9,-13.4
T2,PSTR 1 21,PSTR,P1,21,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,20,16,14,320,4480,29.95294118,29.44166611,9.742222222,1151111.111,0.017788218,0.088049172,0.039809558,4.9,-13.6
T1,SSID 5 20,SSID,S5,20,OSS5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,20,16,10,320,3200,12.33659947,15.01272999,1.065649231,877582.4176,0.040961444,0.043905466,0.022800474,4.9,-13.8
T2,PSTR 5 2,PSTR,P5,2,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,13,9,247,2223,36.720035,34.89096974,11.69066667,2342483.66,0.028137619,0.054941847,0.022218108,4.9,-14.2
T1,PSTR 5 20,PSTR,P5,20,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,19,17,13,323,4199,14.89666667,22.77938704,29.38778531,6684545.455,0.027009251,0.08469031,0.053765073,4.8,-13.3
T2,PSTR 3 21,PSTR,P3,21,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,10,8,8,80,640,7.819614711,10.67735066,6.251965217,578086.9565,0.019539343,0.018816331,0.062099322,4.8,-13.3
T2,PSTR 4 12,PSTR,P4,12,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,18,10,342,3420,27.98545136,27.04246738,9.46944,1586666.667,0.020831564,0.071685394,0.055621421,4.8,-14.9
T2,PSTR 3 12,PSTR,P3,12,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,30,23,15,690,10350,25.64916885,27.16906045,6.332444444,1195833.333,0.014546884,0.078385752,0.048036168,4.8,-15.5
T2,SSID 3 12,SSID,S3,12,NSS3,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,N,alive,26,15,9,390,3510,31.46906223,22.79991918,3.432045714,820317.4603,0.054242687,0.018967654,0.140927156,4.7,-12.2
T1,PSTR 4 20,PSTR,P4,20,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,26,13,13,338,4394,16.34354386,24.62548032,21.5097442,4785185.185,0.01446421,0.015174869,0.040697747,4.7,-12.3
T1,PSTR 3 20,PSTR,P3,20,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,10,8,8,80,640,7.16739245,9.820865809,7.550222222,3209555.555,0.018722408,0.041547414,0.042017418,4.7,-12.6
T0,PSTR 4 26,PSTR,P4,26,OSP4,OS,control,control,control,OS control,N,N,alive,26,13,13,338,4394,,,2.139392,4997300,0.017402551,0.030983307,0.062481206,4.7,-12.7
T2,PSTR 3 2,PSTR,P3,2,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,30,23,15,690,10350,36.68769772,30.28660205,20.14134857,1458857.143,0.012128918,0.098291461,0.046106247,4.7,-15.1
T1,SSID 4 8,SSID,S4,8,NSS4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,20,18,17,360,6120,11.21374561,13.2702863,1.000349091,1147727.273,0.031007162,0.043719427,0.044844149,4.7,-13.8
T2,SSID 2 12,SSID,S2,12,NSS2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,23,21,15,483,7245,25.18124452,17.88766047,2.946331984,371390.0135,0.022259404,0.017069396,0.14152276,4.6,-10.8
T2,SSID 4 21,SSID,S4,21,OSS4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,24,19,9,456,4104,21.03201407,21.42913325,3.573624242,519696.9697,0.03806887,0.006591666,0.092442605,4.6,-11.4
T2,SSID 2 2,SSID,S2,2,NSS2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,23,21,15,483,7245,24.4338326,24.84455297,7.509534118,596078.4313,0.021691688,0.048034279,0.184028692,4.6,-12.7
T2,SSID 5 21,SSID,S5,21,OSS5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,20,16,10,320,3200,20.22451839,21.65607775,3.738356364,505909.0909,0.035918476,0.008700551,0.110386873,4.6,-12.8
T1,SSID 1 20,SSID,S1,20,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,18,14,9,252,2268,12.80333333,14.58922358,4.344049564,2809774.436,0.039643893,0.023621575,0.031173722,4.6,-12.1
T1,SSID 4 14,SSID,S4,14,OSS4,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,24,19,9,456,4104,8.09063867,11.54135102,0.503123782,787454.5455,0.060341718,0.048333363,0.008335576,4.6,-10.7
T2,SSID 5 15,SSID,S5,15,OSS5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,20,16,10,320,3200,9.323951049,13.45460553,1.610123636,475606.0606,0.049473402,0.007121043,0.2690888,4.5,-12.2
T2,PSTR 1 15,PSTR,P1,15,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,20,16,14,320,4480,23.35423581,24.75210109,20.56494545,1721212.121,0.044624169,0.062526038,0.041006344,4.5,-12.8
T2,SSID 5 12,SSID,S5,12,NSS5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,30,22,17,660,11220,16.94666667,14.76764746,4.64969697,739646.4646,0.050088921,0.041396395,0.229207885,4.5,-12.8
T0,PSTR 1 26,PSTR,P1,26,OSP1,OS,control,control,control,OS control,N,N,alive,20,16,14,320,4480,,,4.407073684,3654210.526,0.020202204,0.106585336,0.056679474,4.5,-13.3
T2,SSID 1 21,SSID,S1,21,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,18,14,9,252,2268,33.71581722,30.36508786,4.355346405,523238.9252,0.025280777,0.026234492,0.075025592,4.5,-14.4
T0,SSID 6 13,SSID,S6,13,NSS6,NS,control,control,control,NS control,N,N,alive,35,20,18,700,12600,,,2.703466667,2736458.333,0.069926152,0.037673605,0.049652338,4.5,-12.7
T2,SSID 3 15,SSID,S3,15,OSS3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,25,21,13,525,6825,14.45333333,10.1276444,5.201855462,1414565.826,0.053723401,0.020014753,0.251887451,4.4,-10
T1,PSTR 1 20,PSTR,P1,20,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,20,16,14,320,4480,10.87882662,16.79606301,13.68782222,4068055.555,0.023674456,0.045483108,0.044120032,4.4,-13
T2,SSID 4 15,SSID,S4,15,OSS4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,24,19,9,456,4104,8.891068301,10.12987554,3.048872727,675000,0.071386638,0.024266668,0.166878107,4.2,-11.7
T1,PSTR 1 14,PSTR,P1,14,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,20,16,14,320,4480,19.66415425,30.07505409,9.552944762,6321269.842,0.015406977,0.034507264,0.022139033,4.2,-13
T2,PSTR 5 15,PSTR,P5,15,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,19,17,13,323,4199,21.68943662,20.14444189,11.49582222,613611.111,0.024472692,0.089790756,0.023299318,4.2,-13.8
T0,PSTR 5 26,PSTR,P5,26,OSP5,OS,control,control,control,OS control,N,N,alive,19,17,13,323,4199,,,8.396024242,2815353.535,0.017599952,0.040049569,0.103214593,4.2,-15.1
T1,SSID 3 14,SSID,S3,14,OSS3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,Y,alive,25,21,13,525,6825,14.89094654,14.10209228,0.610002286,1179428.571,0.012306993,0.013952452,0.200546576,4.2,-10.7
T0,SSID 3 26,SSID,S3,26,OSS3,OS,control,control,control,OS control,N,N,alive,25,21,13,525,6825,,,3.263644444,2300555.555,0.045194009,0.013128514,0.491896722,4.1,-10.9
T1,SSID 2 14,SSID,S2,14,OSS2,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,13,10,14,130,1820,27.1671979,21.61660027,0.378753742,1008163.265,0.039715524,0.060307141,0.01770334,4.1,-13
T1,SSID 3 20,SSID,S3,20,OSS3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,Y,alive,25,21,13,525,6825,14.96717544,15.59612654,0.681955556,1416805.556,0.032694015,0.023061268,0.008692908,4.1,-11
T2,SSID 6 8,SSID,S6,8,NSS6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,35,20,18,700,12600,19.72143482,18.3981769,2.613699048,540634.9206,0.150895786,0.015746286,0.010289539,4,-11.1
T2,PSTR 4 15,PSTR,P4,15,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,26,13,13,338,4394,20.75641476,21.06898191,3.631191919,356902.3569,0.035392121,0.115850458,0.036783479,4,-12.1
T1,PSTR 4 14,PSTR,P4,14,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,26,13,13,338,4394,17.04167838,15.59566509,3.033484444,4956481.482,0.017035311,0.045754113,0.024342049,4,-12.2
T0,SSID 1 26,SSID,S1,26,OSS1,OS,control,control,control,OS control,N,N,alive,18,14,9,252,2268,,,1.121241212,2359494.95,0.060441885,0.115769295,0.040878027,3.9,-14.8
T1,SSID 6 20,SSID,S6,20,OSS6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,19,20,12,380,4560,18.86363716,20.43534504,0.654468571,789508.9286,0.066899147,0.037234611,0.021765392,3.9,-15.1
T2,SSID 6 21,SSID,S6,21,OSS6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,Y,alive,19,20,12,380,4560,21.99043478,21.64989147,7.649762319,782930.7569,0.125977556,0.024575608,0.167399444,3.9,-15.7
T1,PSTR 5 14,PSTR,P5,14,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,19,17,13,323,4199,17.03348472,32.59783056,1.130097778,4119753.087,0.034557327,0.08306774,0.024503577,3.8,-12.8
T2,SSID 1 15,SSID,S1,15,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,18,14,9,252,2268,13.59947461,15.78762013,2.453822222,633333.3333,0.040606611,0.030371398,0.113322344,3.7,-12.1
T0,SSID 6 26,SSID,S6,26,OSS6,OS,control,control,control,OS control,N,N,alive,19,20,12,380,4560,,,2.5286912,2217600,0.064491459,0.039830731,0.01040246,3.7,-14.7
T2,SSID 2 15,SSID,S2,15,OSS2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,13,10,14,130,1820,31.52394366,21.46554475,3.687174737,794035.0877,0.016099074,0.0422105,0.167112831,3.5,-12.8
T1,SSID 1 14,SSID,S1,14,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,18,14,9,252,2268,22.82628722,21.26683737,0.552512941,1316360.294,0.028337648,0.016757788,0.018904631,3.5,-12
T0,PSTR 6 13,PSTR,P6,13,NSP6,NS,control,control,control,NS control,N,N,alive,20,18,15,360,5400,,,11.25226667,8788125,0.011029571,0.031302287,0.657481435,2.8,-7.7
T3,PSTR 1 3,PSTR,P1,3,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,14,8,266,2128,42.3595092,38.06588179,17.536,4557246.377,0.014468596,0.012304837,0.052670221,,
T3,PSTR 1 11,PSTR,P1,11,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,14,8,266,2128,40.20052724,34.21791706,4.369386667,6125000,0.01304393,0.016984258,0.021499432,,
T3,PSTR 1 22,PSTR,P1,22,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,Y,alive,20,16,14,320,4480,19.8169163,19.4797569,13.23383467,14485333.33,0.011712254,0.012629136,0.058211663,,
T3,PSTR 1 16,PSTR,P1,16,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,20,16,14,320,4480,39.88498683,43.52751309,10.60510476,3302539.683,0.015108126,0.011194393,0.042361835,,
T3,PSTR 2 3,PSTR,P2,3,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,22,19,10,418,4180,48.68080986,51.55212003,13.152,3963750,0.009549856,0.018537069,0.067556116,,
T3,PSTR 2 11,PSTR,P2,11,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,22,19,10,418,4180,20.00333333,25.95826828,3.003774163,3014354.067,0.068570111,0.031630046,0.122319977,,
T3,PSTR 2 22,PSTR,P2,22,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,15,13,8,195,1560,38.03666667,26.14435119,10.69696,3640000,0.012955169,0.009333862,0.069916312,,
T3,PSTR 2 16,PSTR,P2,16,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,15,13,8,195,1560,27.59666667,36.05107194,5.48,4166875,0.019120062,0.006953546,0.056459409,,
T3,PSTR 3 3,PSTR,P3,3,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,30,23,15,690,10350,47.62666667,32.90759524,0.935253333,3703333.333,0.013534344,0.033523821,0.061474541,,
T3,PSTR 3 11,PSTR,P3,11,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,30,23,15,690,10350,46.00964067,29.66494874,0.023381333,2701866.667,0.011979598,0.003913129,0.041907385,,
T3,PSTR 3 22,PSTR,P3,22,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,10,8,8,80,640,23.05977213,21.70459836,6.444995765,7150431.373,0.011232132,0.030178879,0.048366294,,
T3,PSTR 3 16,PSTR,P3,16,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,10,8,8,80,640,22.18224956,24.47737709,0.110753684,3974736.842,0.006715197,0.005955886,0.029886772,,
T3,PSTR 4 11,PSTR,P4,11,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,18,10,342,3420,25.5524144,30.87847924,8.517485714,4903809.524,0.015420313,0.030813223,0.045908807,,
T3,PSTR 4 6,PSTR,P4,6,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,18,10,342,3420,49.43663453,58.25311931,3.565933014,3948803.828,0.015083462,0.060540855,0.062821627,,
T3,PSTR 4 16,PSTR,P4,16,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,26,13,13,338,4394,29.85905097,38.02209149,6.480695652,4883091.787,0.014377402,0.018993213,0.05154857,,
T3,PSTR 4 22,PSTR,P4,22,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,26,13,13,338,4394,22.76660808,20.85224473,2.995402715,2622624.434,0.010651667,0.005864524,0.053255833,,
T3,PSTR 5 3,PSTR,P5,3,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,13,9,247,2223,54.51795775,44.03151119,0.8768,12666666.67,0.019172627,0.044792064,0.082168392,,
T3,PSTR 5 16,PSTR,P5,16,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,19,17,13,323,4199,42.82333333,45.17950472,10.381312,7811600,0.018436551,0.026721597,0.044238527,,
T3,PSTR 5 22,PSTR,P5,22,OSP5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,19,17,13,323,4199,46.02036874,41.04942185,0.801645714,3626380.952,0.016247566,0.004029715,0.054431203,,
T3,PSTR 6 3,PSTR,P6,3,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,20,18,15,360,5400,42.75166375,39.40232997,30.92712727,9466818.182,0.022946595,0.039885741,0.11136891,,
T3,PSTR 6 11,PSTR,P6,11,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,20,18,15,360,5400,17.41333333,29.45640549,5.013997037,3686666.667,0.042679634,0.010499905,0.016692102,,
T3,PSTR 6 22,PSTR,P6,22,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,19,12,11.5,228,2622,32.15333333,23.31771006,19.82330435,8591304.348,0.01609588,0.014138333,0.072321419,,
T3,PSTR 6 16,PSTR,P6,16,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,19,12,11.5,228,2622,15.09009641,18.5430893,3.844075789,2564210.526,0.040717018,0.059797479,0.041531114,,
T3,SSID 1 3,SSID,S1,3,NSS1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,22,18,15,396,5940,31.59104478,17.29494176,4.29632,434000,0.027245051,0.005097624,0.018032458,,
T3,SSID 1 7,SSID,S1,7,NSS1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,22,18,15,396,5940,24.00105356,16.75578782,1.539271111,824444.4445,0.021844439,0.007111616,0.013771618,,
T3,SSID 1 22,SSID,S1,22,OSS1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,18,14,9,252,2268,31.55869947,1.375964897,4.034550725,456521.7391,0.021180715,0.013282068,0.029334877,,
T3,SSID 1 16,SSID,S1,16,OSS1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,18,14,9,252,2268,22.27954346,16.8705172,1.697930159,1082142.857,0.030016215,0.006252608,0.016312792,,
T3,SSID 2 3,SSID,S2,3,NSS2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,23,21,15,483,7245,39.53666667,31.38986692,4.06616,1108333.333,0.020047812,0.005768423,0.009870044,,
T3,SSID 2 9,SSID,S2,9,NSS2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,23,21,15,483,7245,32.75539947,25.37711402,2.004114286,518181.8182,0.0369692,0.039194263,0.018323801,,
T3,SSID 2 8,SSID,S2,8,NSS2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,23,21,15,483,7245,44.59244952,30.85787547,1.11792,448888.8889,0.03618213,0.015267971,0.021966732,,
T3,SSID 2 22,SSID,S2,22,OSS2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,13,10,14,130,1820,53.61666667,29.8305141,4.252319414,1369230.769,0.033440451,0.005137886,0.034298177,,
